listing-title,agent,area,district,sub-district,land-size,bedroom,bathroom,listing-price,cluster
dijual hunian murah 600jutaan 2lantai lokasi di bsd,fitriana ,BSD,,,45,3,2,686000000.0,0
dijual kebayoran residence,santi ,Bintaro,,Bintaro,300,5,3,5900000000.0,2
dijual kebayoran bintaro,santi ,Bintaro,,Bintaro,600,5,4,15000000000.0,1
dijual hunian mewah hook semi furnish strategis di bintaro sektor 9,santi ,Bintaro,,Bintaro,400,7,6,7400000000.0,1
dijual kencana loka rawa buntu bsd city,kardi poenadi ,BSD,,,300,5,6,4500000000.0,2
dijual dijual rumah kebayoran bintaro jaya posisi hook 3625 st,santi ,Bintaro,,Bintaro,343,7,5,8400000000.0,1
dijual bintaro rumah 2 lantai termurah hanya 600 jutaan d lavia residence,bunga salsabila ,Bintaro,,Bintaro,55,3,2,600000000.0,0
dijual rumah dijual dekat bintaro exchange mal rumah siap huni di cluster aman nyaman,rina yulianita ,Bintaro,,Bintaro,100,3,3,1675000000.0,0
dijual dijual rumah murah bebas banjir dekat upn pamulang,sri partini ,Pamulang,Pamulang,,42,2,1,497500000.0,0
dijual rumah di graha raya graha carissa lt 72 m2 16,nia utania ,Serpong,Serpong,Serpong Utara,84,3,2,1350000000.0,0
dijual dijual rumah baru posisi hook depan taman di bsd,nanni rahayu ,Serpong,Serpong,Serpong,120,4,4,2100000000.0,0
dijual bintaro,nanni rahayu ,Bintaro,,Bintaro,105,4,4,1700000000.0,0
dijual dijual rumah baru posisi hook design classic the icon bsd,nanni rahayu ,BSD,,,405,6,6,6900000000.0,1
dijual info rumah dua lantai di serpong,erna ,Serpong,Serpong,Serpong,73,3,3,750000000.0,0
dijual rumah di graha raya,irkham ,Alam Sutera,,,90,3,3,1650000000.0,0
dijual griya aviva,cornel hary ,,Ciputat,Ciputat,200,3,2,3200000000.0,2
dijual tangerang selatan,ahmad saparuddin ,,Ciputat,Ciputat,52,3,3,700000000.0,0
dijual rumah 2 lantai dijual di cluster visana the savia bsd,andri ,BSD,,,90,3,2,1850000000.0,0
dijual villa magnifa tangsel deket jaksel,edward tanika halim ,,Ciputat,Ciputat,85,3,2,900000000.0,0
dijual rumah impresahaus tabebuya bsd brand new,tommy lim ,BSD,,,88,3,3,1800000000.0,0
dijual rumah murah 2lt di perumahan bintaro sektor 3 pondok aren tangerang selatan banten,tere ps ,Bintaro,Pondok Aren,Pondok Aren,700,4,3,10500000000.0,1
dijual dijual rumah di sektor 1 bintaro jaya tangerang selatan,maryam ,Bintaro,,Bintaro,420,8,6,9700000000.0,1
dijual rumah konsep minimalist luxury di gading serpong fresco virginia village,cindy octaviani ,Bintaro,Serpong,Serpong,53,2,2,1215200000.0,0
dijual jakarta selatan,ahmad saparuddin ,,Ciputat,Ciputat,66,3,3,600000000.0,0
dijual jual cepat rumah dalam cluster eksklusif strategis di discovery bintaro,yayan hb ,Bintaro,,Bintaro,152,4,3,3300000000.0,0
dijual rumah dijual di savia bsd full furnished 2lantai cantik siap huni,aizh ,BSD,,,133,5,4,3600000000.0,0
dijual rumah dijual di de nara bsd city mewah lantai 2,aizh ,BSD,,,650,5,5,10000000000.0,1
dijual promo terbaru bisa kpr tanpa dp rumah lebar 10 cluster the blizfield bsd,adul ,Serpong,Serpong,Serpong,248,4,4,6532165800.0,2
dijual bintaro sektor 7,tono ,Bintaro,,Bintaro,249,4,3,5600000000.0,2
dijual rumah tanah luas di puspita loka bsd dekat sekolah al azhar ursula harganego,christin ,Bintaro,,Bintaro,240,6,4,5500000000.0,2
dijual rumah dijual di de park bsd mewah dengan fasilitas lengkap ada club house,aizh ,BSD,,,180,5,5,4700000000.0,2
dijual rumah bebas banjir strategis jual cepat dekat tol siap kpr,sarah maghfiratan warahmah ,Pamulang,Ciputat,Ciputat,45,3,1,948000000.0,0
dijual rumah dijual cluster digraha raya bintaro hooke 2lantai dengan private pool,aizh ,Bintaro,,Bintaro,300,6,5,3700000000.0,2
dijual puri bintaro,nani roestini ,Bintaro,,Bintaro,162,4,4,2800000000.0,0
dijual cluster valencia,nani roestini ,Bintaro,,Bintaro,227,4,2,2700000000.0,2
dijual bintaro sektor 2,nani roestini ,Bintaro,,Bintaro,498,8,6,7650000000.0,1
dijual the green bsd city,nurul hidayati ,BSD,,,69,2,2,2200000000.0,0
dijual komp duta loka,nani roestini ,,Pondok Aren,Pondok Aren,300,5,3,4000000000.0,2
dijual pondok indah,nani roestini ,Bintaro,,Bintaro,200,4,4,6500000000.0,2
dijual sagara residence at bsd city serpong tangerang selatan cluster exclusive,jasmin k ,Serpong,Serpong,Serpong,104,3,3,1751425000.0,0
dijual disewakan rumah rapih cantik siap huni di malibu village,carolina kencana ,Gading Serpong,Serpong,Serpong,55,3,2,45000000.0,0
dijual mertilang,nani roestini ,Bintaro,,Bintaro,200,4,3,2950000000.0,2
dijual kebayoran bintaro,nani roestini ,Bintaro,,Bintaro,218,5,3,5200000000.0,2
dijual rumah strategis di ciputat tangsel,mimi maria ,,Ciputat,Ciputat,45,2,2,1300000000.0,0
dijual camar,nani roestini ,Bintaro,,Bintaro,250,4,4,3750000000.0,2
dijual jl kampung utan,nani roestini ,,Ciputat,Ciputat,400,8,6,17000000000.0,1
dijual pamulang,abdul salam akhmad ,Pamulang,Pamulang,Benda,111,3,2,1475000000.0,0
dijual menteng residence bintaro jaya,wanwan ,Bintaro,,Bintaro,250,4,3,4200000000.0,2
dijual jl cut nyak dien,nani roestini ,Bintaro,,Bintaro,400,6,6,5100000000.0,2
dijual rumah dijual hanya 10 menit dari pintu tol di pamulang tangerang selatan,rossy ,Pamulang,Pamulang,,80,4,3,1500000000.0,0
dijual rumah di graha raya cluster eldora lt 120 m2 18,nia utania ,Serpong,Serpong,Serpong Utara,105,3,3,1375000000.0,0
dijual rumah milenial hanya dp 0 siap huni lingkungan sudah ramai,gustiano ,Serpong,Serpong,Serpong,42,2,1,360000000.0,0
dijual puri bintaro,nani roestini ,Bintaro,,Bintaro,138,5,4,2800000000.0,0
dijual rumah asri,zainul abidin ,Bintaro,,Bintaro,36,2,0,690000000.0,0
dijual rumah dijual di ciputat 4km mrt lebak bulus,rossy ,,Ciputat,Ciputat,98,3,2,1350000000.0,0
dijual rumah cantik di permata bintaro bebas banjir 9967 pj,ade muliana ,Bintaro,,Bintaro,110,3,2,1750000000.0,0
dijual bintaro hills residence,rosi ,Bintaro,,Bintaro,295,4,4,4600000000.0,2
dijual nusaloka bsd,nori iskandar ,BSD,,,131,3,3,1500000000.0,0
dijual indah asri residen,zainul abidin ,,Pondok Aren,Pondok Aren,36,2,1,690000000.0,0
dijual rumah zuma full furnish di gading serpong dapatkan promo menariknya,cindy octaviani ,BSD,,,63,2,2,1565250000.0,0
